Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Value new (USD),Value used (USD),Launch date,Exit date
5005816-1,Gear,Bags,2020,LEGO® Gold Brick Crossbody Bag,,,,65,65,,,757894512156,,,,,,0,0,0,,0,0,,,,
5005839-1,Gear,Bags,2020,Brick Red Hip Pack,,,24.99,24.99,27.99,29.99,,757894512224,,,,,,0,0,0,,0,0,,,,
5005870-1,Gear,Housewares,2020,Red Bright Blue and Yellow Wall Hanger Set,,,,11.99,14.99,,,887988012863,,,,,,0,0,0,,0,0,,,,
5005871-1,Gear,Storage,2020,8 Stud Red Desk Drawer,,,,24.99,27.99,,,887988012986,,,,,,0,0,0,,0,0,,,,
5005872-1,Gear,Storage,2020,4 Stud Red Desk Drawer,,,,15.99,17.99,,,887988013037,,,,,,0,0,0,,0,0,,,,
5005873-1,Gear,Storage,2020,Transparent Red Rack System,,,,59.99,64.99,,,887988013075,,,,,,0,0,0,,0,0,,,,
5005875-1,Gear,Storage,2020,Transparent Blue LEGO Rack System,,,,59.99,64.99,,,887988013082,,,,,,0,0,0,,0,0,,,,
5005878-1,Miscellaneous,,2020,Buildable Mothers' day card,,,,,,,5702016925487,,,,,,,0,0,0,,0,0,,,,
5005886-1,Gear,Storage,2020,Pumpkin Storage Head,,,22.99,29.99,32.99,24.99,5711938032838,,,,,,,0,0,0,,0,0,,,,
5005889-1,Gear,Storage,2020,4 Stud Blue Desk Drawer,,,,15.99,17.99,,,887988013044,,,,,,0,0,0,,0,0,,,,
5005890-1,Gear,Storage,2020,Transparent Blue Sorting Case To Go,,,5.99,6.99,7.99,6.99,5711938031190,887988011903,,,,,,0,0,0,,0,0,,,,
5005891-1,Gear,Storage,2020,8 Stud Blue Desk Drawer,,,,24.99,27.99,,,887988012993,,,,,,0,0,0,,0,0,,,,
5005892-1,Gear,Housewares,2020,Minifigure Lunch Set,,,,14.99,18.99,,,887988011163,,,,,,0,0,0,,0,0,,,,
5005893-1,Gear,Housewares,2020,White Black and Gray Wall Hanger Set,,,,11.99,14.99,,,887988012849,,,,,,0,0,0,,0,0,,,,
5005894-1,Gear,Housewares,2020,Pink Light Blue and White Wall Hanger Set,,,,11.99,14.99,,,887988012856,,,,,,0,0,0,,0,0,,,,
5005963-1,Gear,Stationery,2020,12 Pack Marker Set,,,21.99,19.99,19.99,24.99,4895028516444,,,,,,,0,0,0,,0,0,,,,
5005998-1,Gear,Posters,2020,"First Edition Page from French Patent Application for LEGO DUPLO Brick, 1968",,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006001-1,Gear,Posters,2020,Spanish Patent LEGO Elements 1958,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006004-1,Gear,Posters,2020,"First Edition Print - Page from British Patent Application for LEGO Elements, 1968",,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006006-1,Gear,Posters,2020,"Limited Edition Print – Page from German Patent Application for LEGO Toy Car, 1963",,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006035-1,Gear,Miscellaneous,2020,Holiday Bag Tag Stormtrooper,,,,5.99,7.99,,,,,,,,,0,0,0,,0,0,,,,
5006057-1,Gear,Stationery,2020,Locking Notebook with Gel Pen,,,14.99,19.99,19.99,16.99,4895028524487,,,,,,,0,0,0,,0,0,,,,
5006074-1,Gear,Key Chains,2020,Lester Light Key Chain,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006129-1,Gear,Storage,2020,LEGO 4 stud Red Storage Brick Drawer,,,28.99,,,31.99,5711938029418,,,,,,,0,0,0,,0,0,,,,
5006130-1,Gear,Storage,2020,LEGO 4 stud Blue Storage Brick Drawer,,,28.99,,,31.99,5711938029425,,,,,,,0,0,0,,0,0,,,,
5006131-1,Gear,Storage,2020,LEGO 8 Stud Red Storage Brick Drawer,,,44.99,,,49.99,5711938029500,,,,,,,0,0,0,,0,0,,,,
5006134-1,Gear,Storage,2020,LEGO 8 Stud Light Purple Storage Brick Drawer,,,44.99,44.99,44.99,49.99,5711938029579,,,,,,,0,0,0,,0,0,,,,
5006148-1,Gear,Patches,2020,International Space Station Patch,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006152-1,Gear,Storage,2020,LEGO Minifigure Display Case,,,19.99,19.99,22.99,21.99,5711938023591,,,,,,,0,0,0,,0,0,,,,
5006156-1,Gear,Storage,2020,LEGO Play and Display Case,,,,39.99,43.99,,5711938030759,,,,,,,0,0,0,,0,0,,,,
5006157-1,Gear,Storage,2020,LEGO Play and Display Case,,,44.99,39.99,43.99,49.99,5711938030766,,,,,,,0,0,0,,0,0,,,,
5006161-1,Gear,Storage,2020,Storage Head Small (Silly),,,14.99,16.99,18.99,14.99,5711938030858,,,,,,,0,0,0,,0,0,,,,
5006173-1,Gear,Storage,2020,LEGO 4 Stud Light Purple Storage Brick Drawer,,,27.99,,,31.99,5711938029487,,,,,,,0,0,0,,0,0,,,,
5006179-1,Gear,Storage,2020,Transparent Blue LEGO Rack System,,,54.99,,,59.99,5711938032098,,,,,,,0,0,0,,0,0,,,,
5006182-1,Gear,Storage,2020,LEGO 8 Stud Aqua Light Blue Storage Brick Drawer,,,44.99,44.99,44.99,49.99,5711938029906,,,,,,,0,0,0,,0,0,,,,
5006186-1,Gear,Storage,2020,Storage Head Small (Winking),,,14.99,16.99,18.99,14.99,5711938030865,,,,,,,0,0,0,,0,0,,,,
5006205-1,Gear,Stationery,2020,Brick Notebook,,,14.99,,,16.99,9781452179650,,,,,,,0,0,0,,0,0,,,,
5006207-1,Gear,Stationery,2020,Still Life with Bricks 100 Collectable Postcards,,,19.99,,,24.99,9781452179643,,,,,,,0,0,0,,0,0,,,,
5006208-1,Gear,Storage,2020,LEGO 4 Stud White Storage Brick Drawer,,,28.99,29.99,32.99,31.99,5711938029463,,,,,,,0,0,0,,0,0,,,,
5006209-1,Gear,Storage,2020,LEGO 8 Stud White Storage Brick Drawer,,,44.99,44.99,48.99,49.99,5711938029555,,,,,,,0,0,0,,0,0,,,,
5006210-1,Gear,Storage,2020,Storage Head Mini (Silly),,,8.99,8.99,12.99,9.99,5711938033545,,,,,,,0,0,0,,0,0,,,,
5006211-1,Gear,Storage,2020,Storage Head Mini (Winking),,,8.99,8.99,12.99,9.99,5711938033552,,,,,,,0,0,0,,0,0,,,,
5006215-1,Gear,Photo frames,2020,LEGO Picture Frame,,,15.99,16.99,21.99,17.99,5711938033422,,,,,,,0,0,0,,0,0,,,,
5006230-1,Gear,Housewares,2020,LEGO Wall Hanger Rack,,,13.99,9.99,14.99,14.99,5711938033033,,,,,,,0,0,0,,0,0,,,,
5006248-1,Gear,Storage,2020,LEGO 8 Stud Black Storage Brick Drawer,,,44.99,,,49.99,5711938029531,,,,,,,0,0,0,,0,0,,,,
5006258-1,Gear,Storage,2020,Storage Head Mini (Boy),,,8.99,8.99,12.99,9.99,5711938033521,,,,,,,0,0,0,,0,0,,,,
5006259-1,Gear,Storage,2020,Storage Head Mini (Girl),,,8.99,8.99,12.99,9.99,5711938033538,,,,,,,0,0,0,,0,0,,,,
5006289-1,Gear,Stationery,2020,Pencil Box with Minifigure,,,,11.99,11.99,,4895028528843,,,,,,,0,0,0,,0,0,,,,
5006303-1,Gear,Posters,2020,Fiat Art Print 1 - Tutto Bene,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006304-1,Gear,Posters,2020,Fiat Art Print 2 - Three Cars,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006305-1,Gear,Posters,2020,Fiat Art Print 3 - Nuova Italia,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006306-1,Gear,Posters,2020,Fiat Art Print 4 - Rome,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006307-1,Gear,Posters,2020,Fiat Art Print 5 - Modern,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006309-1,Gear,Posters,2020,Fiat Art Print 6 - Florentine,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006310-1,Gear,Posters,2020,Fiat Art Print 7 - Nuova Rosso,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006330-1,Gear,Key Chains,2020,VIP Metal Key Chain 2x4 Plate,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5006357-1,Gear,Bags,2020,Stocking - Green Brick,,,24.99,24.99,34.99,29.99,,757894512873,,,,,,0,0,0,,0,0,,,,
5006360-1,Gear,Bags,2020,Minifigure Packable Patch Backpack,,,,29.99,39.99,,,757894512996,,,,,,0,0,0,,0,0,,,,
5006363-1,Gear,Key Chains/Star Wars,2020,Han Solo Carbonite Metal Keychain,,,,,,,5702017030869,,,,,,,0,0,0,,0,0,,,,
5006364-1,Gear,Lights,2020,The Mandalorian Key Light,,,9.99,13.99,13.99,11.99,4895028529017,,,,,,,0,0,0,,0,0,,,,
5006365-1,Gear,Lights,2020,Nurse Key Light,,,13.99,14.99,19.99,15.99,4895028528355,,,,,,,0,0,0,,0,0,,,,
5006366-1,Gear,Lights,2020,Surgeon Key Light,,,,,,,4895028529512,,,,,,,0,0,0,,0,0,,,,
5006367-1,Gear,Bag Tags,2020,The Mandalorian With The Child Bag Tag,,,6.99,6.99,6.99,7.99,4895028529482,,,,,,,0,0,0,,0,0,,,,
5006368-1,Gear,Bag Tags,2020,The Child Bag Tag,,,6.99,,,7.99,4895028529499,,,,,,,0,0,0,,0,0,,,,
5006371-1,Gear,Bag Tags,2020,Nurse Bag Tag,,,6.99,,,7.99,4895028529758,,,,,,,0,0,0,,0,0,,,,
5006372-1,Gear,Stationery,2020,Lightsaber Gel Pen Multipack,,,10.9,,,11.99,4895028528751,,,,,,,0,0,0,,0,0,,,,
5006376-1,Gear,Bag Tags,2020,Surgeon Bag Tag,,,6.99,,,7.99,4895028529703,,,,,,,0,0,0,,0,0,,,,
5006482-1,Gear,Stationery,2020,Holiday Gift Set 2020,,,,,,,5702017085647,,,,,0.226,,0,0,0,,0,0,,,,
5006623-1,Gear,Plush,2020,Yoda Plush,,,24.99,26.99,32.99,29.99,0011964504930,,,,,,,0,0,0,,0,0,,,,
5006625-1,Gear,Plush,2020,Unicorn Girl Plush,,,,26.99,32.99,,0011964505555,,,,,,,0,0,0,,0,0,,,,
5006626-1,Gear,Plush,2020,Butterfly Girl Plush,,,,26.99,32.99,,0011964505579,,,,,,,0,0,0,,0,0,,,,
5006627-1,Gear,Plush,2020,Shark Suit Guy Plush,,,,26.99,32.99,,0011964505548,,,,,,,0,0,0,,0,0,,,,
5006632-1,Gear,Posters,2020,Ghostbusters: Afterlife poster,,,,,,,,,,,,,,0,0,0,,0,0,,,,
5007136-1,Gear,Plush,2020,Darth Vader Plush,,,24.99,26.99,32.99,26.99,0011964504909,,,,,,,0,0,0,,0,0,,,,
5007137-1,Gear,Plush,2020,Stormtrooper Plush,,,24.99,26.99,32.99,26.99,0011964504923,,,,,,,0,0,0,,0,0,,,,
5007463-1,Gear,Plush,2020,Stormtrooper Holiday Plush,,,32.99,30.99,40.99,35.99,0011964511297,,,,,,,0,0,0,,0,0,,,,
5007484-1,Gear,Storage,2020,Minifigure Wallet,,,8.99,,,9.99,,757894511197,,,,,,0,0,0,,0,0,,,,
5007556-1,Gear,Plush,2020,Lloyd,,,27.99,,,31.99,0011964505661,,,,,,,0,0,0,,0,0,,,,
5007867-1,Miscellaneous,,2020,Newsstand,,155,,,,,,,,,,,,0,0,0,,0,0,,32.6900,,
6317941-1,Promotional,LEGO brand stores,2020,Drum,,88,,,,,,,,,,,,0,0,0,,0,0,11.5000,,,
6317942-1,Promotional,LEGO Brand Stores,2020,Display Box,,87,,,,,,,,,,,,0,0,0,,0,0,18.6600,,,
6322501-1,Promotional,Gift with Purchase,2020,The United Trinity,,37,,,,,,,,,,,,0,0,0,,0,0,72.7100,,,
6322642-1,Promotional,Gift with Purchase,2020,The United Trinity,,37,,,,,,,,,,,,0,0,0,,0,0,,,,
6322719-1,BrickHeadz,Promotional,2020,Hangzhou BrickHeadz,,98,,,,,5702016869453,,,,,,,0,0,0,,0,0,68.0000,,,
6324146-1,Promotional,Gift with Purchase,2020,Great Wall Of China,,98,,,,,5702016876857,,,,,,,0,0,0,,0,0,60.5400,,,
6336798-1,Promotional,Miscellaneous,2020,Summer Arcade,,,,,,,,,,,,,,0,0,0,,0,0,,,,
6336801-1,Promotional,LEGO brand stores,2020,Bumper Cars,,92,,,,,,,,,,,,0,0,0,,0,0,,,,
6337009-1,Promotional,,2020,Summer Clown,,,,,,,,,,,,,,0,0,0,,0,0,17.9900,39.3300,,
6338738-1,Promotional,Gift with Purchase,2020,Children's Day carousel,,140,,,,,5702016944242,,,,,,,0,0,0,,0,0,,,,
6346097-1,Star Wars,Promotional,2020,Yoda's Lightsaber,,140,,,,,,,,,,,,0,0,0,,0,0,,,,
6346098-1,Star Wars,Promotional,2020,Yoda's Lightsaber,,140,,,,,,,,,,,,0,0,0,,0,0,96.8600,,,
6346101-1,Promotional,Gift with Purchase,2020,Buildable 2x4 Teal Brick,,110,,,,,,,,,,,,0,0,0,,0,0,13.3500,9.5000,,
6346102-1,Promotional,Gift with Purchase,2020,Buildable 2x4 Teal Brick,,110,,,,,5702016989946,,14.7,14.9,4.4,0.151,,0,0,0,,0,0,,,,
6346105-1,Promotional,Gift with Purchase,2020,Roman Chariot,,127,,,,,,,,,,,,0,0,0,,0,0,,,,
6346106-1,Promotional,Gift with Purchase,2020,The Chariot,,127,,,,,,,,,,,,0,0,0,,0,0,,,,
6346109-1,Promotional,Gift with Purchase,2020,The Chariot,1,127,,,,,5702016989557,,,,,,,0,0,0,,0,0,46.3000,29.6000,,
6349153-1,Promotional,LEGO brand stores,2020,Dapeng bird,,153,,,,,5702017006970,,,,,,,0,0,0,,0,0,,,,
6349566-1,Promotional,LEGO brand stores,2020,Snowflake,,,,,,,,,,,,,,0,0,0,,0,0,,,,
6512272-1,Promotional,Gift with Purchase,2020,Carousel,,136,,,,,5702017758299,,,,,,,0,0,0,,0,0,,,,
BLOCKS064-1,Books,Magazines/Blocks,2020,Blocks magazine issue 64,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS065-1,Books,Magazines/Blocks,2020,Blocks magazine issue 65,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS066-1,Books,Magazines/Blocks,2020,Blocks magazine issue 66,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS067-1,Books,Magazines/Blocks,2020,Blocks magazine issue 67,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS068-1,Books,Magazines/Blocks,2020,Blocks Magazine issue 68,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS069-1,Books,Magazines/Blocks,2020,Blocks magazine issue 69,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS070-1,Books,Magazines/Blocks,2020,Blocks magazine issue 70,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS071-1,Books,Magazines/Blocks,2020,Blocks magazine issue 71,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS072-1,Books,Magazines/Blocks,2020,Blocks magazine issue 72,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS073-1,Books,Magazines/Blocks,2020,Blocks magazine issue 73,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BLOCKS074-1,Books,Magazines/Blocks,2020,Blocks magazine issue 74,,,,,,,,,,,,,,0,0,0,,0,0,,,,
BRICKJOURNAL061-1,Books,Magazines/BrickJournal,2020,BrickJournal Issue 61,,,,9.95,,,,,,,,,,0,0,0,,0,0,,,,
BRICKJOURNAL062-1,Books,Magazines/BrickJournal,2020,BrickJournal Issue 62,,,,9.95,,,,,,,,,,0,0,0,,0,0,,,,
BRICKJOURNAL063-1,Books,Magazines/BrickJournal,2020,BrickJournal Issue 63,,,,9.95,,,,,,,,,,0,0,0,,0,0,,,,
BRICKJOURNAL064-1,Books,Magazines/BrickJournal,2020,BrickJournal Issue 64,,,,9.95,,,,,,,,,,0,0,0,,0,0,,,,
BRICKJOURNAL065-1,Books,Magazines/BrickJournal,2020,BrickJournal Issue 65,,,,9.95,,,,182658004323,,,,,,0,0,0,,0,0,,,,
FANDOME2020-1,DC Comics Super Heroes,Promotional,2020,Supergirl,1,5,,,,,,,,,,,,0,0,0,,0,0,,,,
FASTBRICKS-1,Books,Miscellaneous,2020,Fast Bricks: Build 6 LEGO Sports Cars,,,,,,,,,,,,,,0,0,0,,0,0,,,,
FLOWER1-1,Promotional,LEGO brand stores,2020,{Flower in pot},,160,,,,,,,,,,,,0,0,0,,0,0,,,,
GLADIATOR-1,Promotional,Gift with Purchase,2020,Gladiator minifigure,,7,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780241401200-1,Books,Dorling Kindersley,2020,Cute Ideas,,35,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780241401279-1,Books,Dorling Kindersley,2020,NINJAGO Choose Your Ninja Mission: Which Path Will You Take?,1,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780241409190-1,Books,Dorling Kindersley,2020,Epic History ,,53,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780241409459-1,Books,Dorling Kindersley,2020,LEGO Harry Potter: Magical Treasury,,5,,21.99,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780241409640-1,Books,Dorling Kindersley,2020,Disney Princess Enchanted Treasury,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780241409695-1,Books,Dorling Kindersley,2020,"LEGO Minifigure: A Visual History, New Edition",1,5,30.99,39.99,,34.99,,,,,,,,0,0,0,,0,0,,,,
ISBN9780241458235-1,Books,Dorling Kindersley,2020,LEGO Minifigure Handbook,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780744024470-1,Books,Dorling Kindersley,2020,100 Ways to Rebuild the World,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9780760365885-1,Books,Motorbooks,2020,How to Build Brick TV and Movie Cars,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781338603453-1,Books,Klutz,2020,Gear Bots,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781452179629-1,Books,Chronicle,2020,LEGO Still Life with Bricks: The Art of Everyday Play,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781452179643-1,Books,Chronicle,2020,LEGO Still Life with Bricks: 100 Collectible Postcards,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781452179704-1,Gear,Puzzle,2020,Paint Party Puzzle,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781452182254-1,Books,Chronicle,2020,LEGO Small Parts: The Secret Life of Minifigures,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781452182278-1,Gear,Puzzle,2020,Minifigure Puzzle,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781465489562-1,Books,Dorling Kindersley,2020,"LEGO Star Wars: Character Encyclopedia, New Edition",1,7,,19.99,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781465493262-1,Books,Dorling Kindersley,2020,Halloween Ideas,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781465493279-1,Books,Dorling Kindersley,2020,Jurassic World Build Your Own Adventure,,63,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781465493286-1,Books,Dorling Kindersley,2020,City Build Your Own Adventure: Police Chase,,0,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781465497864-1,Books,Dorling Kindersley,2020,The LEGO Games Book,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781718500259-1,Books,No Starch Press,2020,High Tech LEGO Projects,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781718500488-1,Books,No Starch Press,2020,LEGO Train Projects,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781797210186-1,Gear,Puzzle,2020,Ice Cream Dreams Puzzle,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9781797210193-1,Gear,Puzzle,2020,Minifigure Faces Puzzle,,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9783864907999-1,Books,Dpunkt,2020,"Eigene LEGO-Modelle programmieren: Mit Bauanleitungen für neue Modelle. Für Powered Up, BOOST und Co",,,,,,,,,,,,,,0,0,0,,0,0,,,,
ISBN9783966640022-1,Books,Heel-Verlag,2020,Porsche 911: Legends Made of LEGO,,,,,,,,,,,,,,0,0,0,,0,0,,,,
MMOUTON-1,Promotional,Minifigure,2020,Michele Mouton Minifig,,4,,,,,,,,,,,,0,0,0,,0,0,1064.5700,,,
PE770439-1,Gear,Storage,2020,"BYGGLEK box, medium",,,,,,12.99,,,,,,,,0,0,0,,0,0,,,,
PE770439_1-1,Gear,Storage,2020,"BYGGLEK box, large",,,,,,14.99,,,,,,,,0,0,0,,0,0,,,,
PE770441-1,Gear,Storage,2020,"BYGGLEK boxes, set of 3",,,,,,9.99,,,,,,,,0,0,0,,0,0,,,,
PINBALL-1,Promotional,,2020,Pinball Machine,,102,,,,,,,,,,,,0,0,0,,0,0,11.5600,,,
ROSE2-1,Promotional,,2020,Rose,,26,,,,,,,,,,,,0,0,0,,0,0,,,,
SMMM-1,Marvel Super Heroes,Promotional,2020,Classic Suit Miles Morales,,3,,,,,,,,,,,,0,0,0,,0,0,,,,
TEDDY-1,Seasonal,Valentine's Day,2020,Valentine's Bear,,69,,,,,,,,,,,,0,0,0,,0,0,,,,
2008-1,Miscellaneous,Employee gift,2008,Heart,,92,,,,,,,,,,,,0,0,0,,0,0,164.0200,,,
2230-1,City,Great Outdoors,2008,In-flight Helicopter and Raft,2,115,,,,,,673419103015,,,,,,0,0,0,,0,0,26.3100,15.9900,,
3830-1,SpongeBob SquarePants,,2008,The Bikini Bottom Express,3,210,18.59,19.99,,,5702014516106,673419101684,28.8,28.8,4.8,0.41,,0,0,0,,0,0,199.9900,43.3200,01/01/2008,31/12/2009
3831-1,SpongeBob SquarePants,,2008,Rocket Ride,3,279,26.45,29.99,,,5702014516113,673419101691,28.8,38.4,6,0.6,,0,0,0,,0,0,177.9300,71.3700,01/01/2008,31/12/2009
3832-1,SpongeBob SquarePants,,2008,SpongeBob's Emergency,3,236,24.49,29.99,,,5702014525993,,38.4,28.8,6,,,0,0,0,,0,0,186.9600,130.0000,01/08/2008,31/12/2008
4210-1,City,Coast Guard,2008,Coast Guard Platform,4,469,43.99,49.99,,,5702014521261,673419103770,48,38.4,7.2,,,0,0,0,,0,0,172.4900,80.0000,01/08/2008,31/12/2008
4837-1,Creator,3 in 1,2008,Mini Trains,,73,3.89,4.99,,,5702014520226,673419103510,10.2,14.35,4.8,0.11,,0,0,0,,0,0,13.9900,5.4300,01/01/2008,31/12/2009
4838-1,Creator,3 in 1,2008,Mini Vehicles,,79,3.89,4.99,,,5702014520233,673419103503,10.2,14.35,4.8,0.11,,0,0,0,,0,0,8.5500,4.3300,01/01/2008,31/12/2009
4862-1,Duplo,Castle,2008,Ambush,2,15,9.79,16.99,,,5702014500334,,,,,,,0,0,0,,0,0,28.2100,23.6300,,
4863-1,Duplo,Castle,2008,Sentry & Catapult,2,41,19.55,24.99,,,5702014500327,,38.4,28.8,7.2,,,0,0,0,,0,0,84.8000,35.6900,01/06/2008,31/12/2008
4864-1,Duplo,Castle,2008,Castle,3,115,54.99,79.99,,,5702014500310,,57.6,48,9.6,,,0,0,0,,0,0,198.0700,82.5600,01/06/2008,31/12/2009
4897-1,City,Police,2008,Police Trike,,24,,,,,,,,,,,,0,0,0,,0,0,,,,
4898-1,City,Coast Guard,2008,Coast Guard Boat,1,35,,,,,5702014521483,,14,14,0,,,0,0,0,,0,0,25.2000,4.2000,01/06/2008,31/12/2008
4900-1,City,Fire,2008,Fire Helicopter,1,34,,,,,,673419164238,14,14,1.2,,,0,0,0,,0,0,4.9900,1.7500,01/06/2008,31/12/2011
4993-1,Creator,3 in 1,2008,Cool Convertible,,648,39.99,49.99,59.99,,5702014518155,673419102803,48.01,28.8,7.2,1.35,,0,0,0,,0,0,73.4200,38.1400,01/07/2008,31/12/2010
4994-1,Creator,3 in 1,2008,Fierce Creatures,,193,8.79,12.99,,,5702014518162,673419102810,28.8,19.2,4.8,0.28,,0,0,0,,0,0,59.9900,9.0800,,
4995-1,Creator,3 in 1,2008,Cargo Copter,,272,15.65,19.99,,,,673419102827,28.8,28.8,6,0.6,,0,0,0,,0,0,19.4200,15.6400,01/01/2008,31/12/2009
4996-1,Creator,3 in 1,2008,Beach House,,522,24.99,34.99,39.99,,5702014518186,673419102834,38.4,28.8,7.2,1.13,,0,0,0,,0,0,98.9200,36.6800,01/01/2008,31/12/2010
4997-1,Creator,3 in 1,2008,Transport Ferry,,1279,51.85,69.99,,,,673419102841,57.6,38.4,9.6,2.24,,0,0,0,,0,0,162.8100,103.9600,01/07/2008,31/12/2009
4998-1,Creator,3 in 1,2008,Stegosaurus,,731,36.19,49.99,,,,673419102858,48,28.8,7.2,1.34,,0,0,0,,0,0,142.9700,45.0000,01/07/2008,31/12/2009
4999-1,Advanced models,Vestas,2008,Vestas Wind Turbine,3,815,,,,,5702014520202,,,,,,,0,0,0,,0,0,261.2200,118.6100,,
5372-1,Castle,Fantasy Era,2008,Skeleton Chariot,,20,,,,,,,,,,,,0,0,0,,0,0,,,,
5373-1,Castle,Fantasy Era,2008,Knight & Catapult,,21,,,,,,,,,,,,0,0,0,,0,0,,,,
5380-2,Duplo,,2008,Large Brick Box - Green Plate Version,1,71,,,,,,673419091497,,,,,,0,0,0,,0,0,,26.0000,,
5522-1,Bricks and More,,2008,Golden Anniversary Set,,700,19.99,39.99,,,5702014524682,673419105293,48,28.8,7.2,1.1,,0,0,0,,0,0,51.1600,,,
5543-1,Duplo,Thomas & Friends,2008,Percy at the Sheds,1,34,17.59,19.99,,,5702014518742,673419103404,28.8,28.8,9.6,0.64,,0,0,0,,0,0,30.0000,24.9900,,
5544-1,Duplo,Thomas & Friends,2008,Thomas Starter Set,2,82,39.99,49.99,,,,673419103411,57.6,28.8,11.4,1.66,,0,0,0,,0,0,,86.5500,01/06/2008,30/06/2010
5572-1,Duplo,,2008,LEGO DUPLO Build & Play,1,100,29.35,44.99,,,5702014517912,,,,,,,0,0,0,,0,0,65.0000,19.8600,,
5573-1,Bricks and More,,2008,LEGO Build & Play,1,643,29.35,44.99,,,,,,,,,,0,0,0,,0,0,,33.5300,,
5574-1,Bricks and More,,2008,Basic Bricks,,280,6.49,12.99,17.99,,5702014517998,,,,,,,0,0,0,,0,0,21.8200,7.1000,,
5575-1,Duplo,,2008,Basic Bricks - Medium,,45,8.49,14.99,,,5702014517929,,,,,,,0,0,0,,0,0,21.5000,,,
5576-1,Bricks and More,,2008,Basic Bricks - Medium,,378,8.29,,,,5702014518001,,,,,,,0,0,0,,0,0,26.8300,25.0000,,
5577-1,Duplo,,2008,Basic Bricks - Large,,65,12.99,16.99,,,,,,,,,,0,0,0,,0,0,,,,
5578-1,Bricks and More,,2008,Basic Bricks - Large,,500,12.99,19.99,,,,,,,,,,0,0,0,,0,0,,,,
5582-1,Bricks and More,,2008,Ultimate LEGO Town Building Set,,689,24.49,49.99,,,5702014518063,,41,19.1,27.7,,,0,0,0,,0,0,,26.9100,01/06/2008,31/12/2009
5583-1,Duplo,,2008,Fun with Wheels,,78,18.59,29.99,,,5702014517943,,,,,,,0,0,0,,0,0,,,,
5584-1,Bricks and More,,2008,Fun with Wheels,,650,17.59,29.99,,,5702014518025,,28.8,28.8,9.6,,,0,0,0,,0,0,46.1800,22.7700,01/01/2008,31/07/2009
